Javier615	75522	30	14584	3759	1703	4503	4619
President	95057	29	3438	1140	136	1117	1045
Bezo	21631	28	6200	1620	1035	1765	1780
Eiardrith	76480	28	2293	261	1644	201	187
gangsterpimp	76583	28	4313	1040	1819	853	601
jordanh	87572	28	5327	1448	1182	1444	1253
spana87	241909	28	2811	260	224	773	1554
Sgt-Bite_This	200728	28	1241	385	11	45	800
DonEdweezy	943004	28	2213	566	541	580	527
jakbar	248808	28	2222	680	495	489	558
BabsKing	87461	28	3698	1846	629	628	595
Drider30	929257	28	5088	805	310	749	3224
Boss_Grech	326028	28	5618	1657	1204	1528	1229
tbs786	136660	28	7264	1922	1692	1698	1952
gamepje	1514039	28	239307	13656	4459	111213	109979
luckycat76262	34069	27	3821	557	1231	445	1588
pakure	556583	27	3537	904	881	899	853
Silent-ninja	130275	27	7282	1839	1801	1801	1841
sphynx	173148	27	3756	870	877	872	1137
tikiman123	247665	27	4073	214	1672	119	2068
Sporty_Jordo	320301	27	1029	301	234	252	242
Division4	264772	27	1264	415	23	769	57
rapture	583658	27	1350	1001	49	180	120
vexxor	813216	27	1544	482	336	367	359
HateCrime	41317	27	1641	497	400	435	409
ghost99	50835	27	1705	657	267	598	183
Magus517707	14641	27	1829	509	408	500	412
Climactic	222151	27	1966	654	56	961	295
jedimasteryoda	26299	27	2646	2049	168	259	170
madmax128	340810	27	2762	866	619	529	748
Knowless	27340	27	2778	739	691	677	671
gotencs103	54567	27	2843	520	506	558	1259
THEking	228704	27	3196	933	799	730	734
Mikeopia	359740	27	3265	1138	565	1007	555
Mars_hotel	185958	27	3771	1218	302	1164	1087
AlsCapone	374418	27	4194	1213	1994	595	392
Bobdude11	316174	27	5878	1424	1382	1616	1456
dariusvalmortis	431576	27	6504	1171	1204	2910	1219
im_ran85	244123	27	11485	8830	1187	486	982
zhuang281	188142	27	13983	6854	1688	2961	2480
Dora_knobb	1462209	26	51497	12890	12844	12845	12918
elecenter	45179	26	4104	2329	120	963	692
